date,home,away,home_score,away_score,ht_home,ht_away,shots_home,shots_away,sot_home,sot_away,fouls_home,fouls_away,corners_home,corners_away,yellow_home,yellow_away,red_home,red_away,possession_home,possession_away,pass_acc_home,pass_acc_away,tackles_home,tackles_away,saves_home,saves_away
2026-04-12,Botafogo,Coritiba,2,2,0,1,15,11,7,4,12,5,8,4,2,3,0,1,58,42,84,75,12,16,3,7
2026-04-12,Fluminense,Flamengo,1,2,0,1,9,10,3,8,15,10,5,2,3,3,0,1,56,44,88,86,9,18,7,8
2026-04-12,Corinthians,Palmeiras,0,0,0,0,6,7,4,4,17,15,2,7,2,1,2,0,39,61,73,86,13,11,8,3
2026-04-12,Cruzeiro,Bragantino,2,1,1,1,12,10,7,4,15,20,2,7,0,1,0,0,48,52,76,79,15,12,4,5
2026-04-12,Athletico-PR,Chapecoense-SC,2,0,0,0,14,8,6,1,15,17,5,0,2,5,0,0,58,42,,,,,,
2026-04-12,Botafogo RJ,Coritiba,2,2,0,1,21,14,8,5,14,7,8,4,2,4,0,0,61,39,,,,,,
2026-04-12,Fluminense,Flamengo RJ,1,2,0,1,19,17,6,9,14,11,8,2,3,3,0,1,60,40,,,,,,
2026-04-18,Vasco,São Paulo,2,1,0,1,13,6,5,3,13,18,6,4,1,2,0,0,58,42,82,75,16,12,2,7
2026-04-18,Chapecoense,Botafogo,1,4,1,3,7,11,3,7,4,4,3,4,0,0,0,0,49,51,85,89,14,15,3,5
2026-04-18,Vitória,Corinthians,0,0,0,0,8,2,1,0,13,14,4,2,1,2,0,0,58,42,86,84,8,11,2,4
2026-04-18,Cruzeiro,Grêmio,2,0,0,0,14,4,6,1,16,13,5,1,4,3,0,0,43,57,84,88,12,10,3,4
2026-04-18,Chapecoense-SC,Botafogo RJ,1,4,1,3,9,13,3,8,6,7,4,4,0,0,0,0,49,51,,,,,,
2026-04-18,Vasco,Sao Paulo,2,1,0,1,20,10,5,4,14,20,6,5,1,2,0,0,62,38,,,,,,
2026-04-18,Vitoria,Corinthians,0,0,0,0,13,7,1,0,13,14,4,2,1,2,0,0,54,46,,,,,,
2026-04-18,Cruzeiro,Gremio,2,0,0,0,18,9,6,1,16,13,4,1,4,3,0,0,41,59,,,,,,
2026-04-19,Internacional,Mirassol,1,2,0,2,12,7,5,4,5,12,11,2,0,4,0,0,67,33,84,77,14,21,6,10
2026-04-19,Santos,Fluminense,2,3,1,1,5,10,4,3,13,14,6,4,5,4,0,0,46,54,85,88,15,17,2,2
2026-04-19,Coritiba,Atlético-MG,2,0,1,0,3,16,2,6,18,10,2,8,2,1,1,1,30,70,73,89,16,5,12,1
2026-04-19,Palmeiras,Athletico-PR,1,0,1,0,9,5,2,3,8,21,9,4,1,5,1,0,52,48,82,83,11,12,3,6
2026-04-19,Bragantino,Remo,4,2,2,2,11,6,7,3,10,12,1,1,1,1,0,0,53,47,85,80,9,5,1,5
2026-04-19,Flamengo,Bahia,2,0,1,0,14,8,8,5,11,8,6,1,2,0,0,0,50,50,88,89,4,12,7,8
2026-04-19,Coritiba,Atletico-MG,2,0,1,0,2,23,2,7,18,10,2,8,2,1,1,1,23,77,,,,,,
2026-04-19,Flamengo RJ,Bahia,2,0,1,0,20,13,8,5,12,8,6,1,2,0,0,0,52,48,,,,,,
2026-04-25,Botafogo,Internacional,2,2,0,0,12,7,7,4,16,14,3,4,3,3,0,0,55,45,79,72,26,10,3,8
2026-04-25,Bahia,Santos,2,2,0,2,9,8,4,6,12,16,5,3,4,4,0,0,62,38,86,75,9,15,5,7
2026-04-25,Remo,Cruzeiro,0,1,0,1,9,7,1,6,12,21,4,1,1,3,0,0,47,53,77,80,11,18,4,5
2026-04-25,São Paulo,Mirassol,1,0,0,0,10,8,1,1,11,14,12,5,1,2,0,0,54,46,83,81,18,10,2,12
2026-04-25,Botafogo RJ,Internacional,2,2,0,0,16,8,7,4,16,14,3,5,3,3,0,0,53,47,,,,,,
2026-04-26,Corinthians,Vasco,1,0,1,0,13,18,5,7,12,16,5,7,4,4,1,0,44,56,78,83,14,11,8,8
2026-04-26,Grêmio,Coritiba,1,0,1,0,10,11,5,4,20,10,5,2,3,2,1,2,53,47,85,81,9,10,6,15
2026-04-26,Bragantino,Palmeiras,0,1,0,1,12,6,3,3,11,16,8,4,1,3,0,0,57,43,82,76,13,19,2,6
